Title,label,x,y,z,size
Software Sustainability: A Comprehensive Guide for a Resilient Digital Future,Software Sustainability,5.6600513,6.0355864,7.3977714,61
Sustainable Movement: Green Software Development,Green Software Development,5.026615,6.6017904,6.780056,6
Carbon-Aware Software Development,Green Cloud Computing,4.9978065,6.7787304,6.437021,27
"The Paradox of Progress: AI, Efficiency, and Sustainability",AI Energy Consumption,9.147356,7.1572833,5.003899,21
DarkSIDE of AI : Power Hungry process,AI Energy Consumption,9.124076,7.4444847,4.772866,21
"Green Software is Event Driven and Carbon Aware, with Kubernetes and KEDA",Green Cloud Computing,4.9073467,6.7606187,6.1649446,27
How edge computing can reduce your software's carbon footprint,Green Cloud Computing,4.9564266,6.4853864,6.3292317,27
"Carbon Aware Software: Three Demand Shaping Strategies, implemented in Kotlin",Carbon Footprint Management,4.9313064,5.8282003,6.1773376,8
3 steps towards a greener IT landscape,Green Software Development,5.0145044,6.6138263,6.7677884,6
Is it too late to fix the problem of AI clutter on the web?,AI Energy Consumption,9.221065,7.0683646,5.0282583,21
MEET A STEERING COMMITTEE MEMBER: DAN LEWIS-TOAKLEY OF THOUGHTWORKS,Software Sustainability,6.7121143,5.2763786,7.01379,61
"
MEET A STEERING COMMITTEE MEMBER: TORU SHIMOGAKI OF NTT DATA",Software Sustainability,6.501064,5.5431437,7.0485964,61
MEET GSF ORG LEADS: ZILIANG ZONG OF TEXAS STATE UNIVERSITY,Software Sustainability,6.577047,5.637268,7.1241903,61
MEET OUR STEERING COMMITTEE: GITHUB,Software Sustainability,6.5521398,5.7136445,7.0619287,61
MEET A STEERING COMMITTEE MEMBER: ELISE ZELECHOWSKI OF THOUGHTWORKS,Software Sustainability,6.721096,5.3054104,6.9638906,61
SUSTAINABILITY SUPERHEROES – CIOS ARE PULLING ON THEIR GREEN CAPES,Green Cloud Computing,4.571878,6.288008,5.946359,27
Sustainable Tech Choices for Cloud,Green Cloud Computing,4.624401,6.6473546,5.9657593,27
Beyond Single-Dimensional Metrics for Digital Sustainability,Software Sustainability,6.1959076,5.9467835,7.251803,61
Actionable ways to make software greener,Software Sustainability,6.2154126,5.9616575,7.4174075,61
Is Your Site Unintentionally Polluting the Planet? Here's How to Quantify and Trim Its Carbon Footprint,Sustainable Web Design,7.6802235,6.525126,8.154095,32
"Digital Minimalism: Designing a Speedier, Greener Web",Sustainable Web Design,7.775741,6.987067,8.432118,32
Exploring Dual Licensing in Open Source Software: A Comprehensive Overview,Open Source Funding,13.051471,4.4521346,11.183085,46
Software Sustainability: A Path to Responsible Digital Evolution,Software Sustainability,5.631464,6.047401,7.396939,61
Supporting Open Source Projects: The Power of Donations,Open Source Funding,13.427805,3.9126592,10.492062,46
Open Source Project Sponsorship Schemes: Fueling Innovation and Sustainability,Open Source Funding,13.416982,3.9929264,10.48363,46
Supporting Open Source: The Importance of Developer Patronage,Open Source Funding,13.399674,3.94558,10.598205,46
Navigating the Complex World of Open Source Project Sponsorship,Open Source Funding,13.343129,3.9497747,10.430598,46
Navigating the Funding Maze: Open Source Software's Financial Challenges,Open Source Funding,13.175169,4.171571,10.403525,46
Sustaining the Backbone of Technology: Open Source Funding Platforms,Open Source Funding,13.392098,4.01179,10.552396,46
Navigating the Maze of Open Source Funding: Best Practices for Success,Open Source Funding,13.399564,4.148132,10.616282,46
"Covers Advancements in Solar, Wind, and Energy Storage Technologies",Renewable Energy Market,8.151677,12.022406,3.3072376,40
Why do we need to use Solar energy?,Renewable Energy Market,8.0036955,12.549915,3.2092047,40
"Renewable Energy Market to Hit USD 1,894.9 Billion by 2030, Growing at 9.4% CAGR",Renewable Energy Market,8.010434,12.143932,3.278072,40
Top 10 Renewable Energy Companies in the World,Renewable Energy Market,7.9180455,12.335888,3.2212057,40
Top Solar Companies in the USA,Renewable Energy Market,8.002388,12.546097,3.218271,40
[0/30] 30 days of Python learning,AI Energy Consumption,9.283952,6.6482706,5.218015,21
MEET A STEERING COMMITTEE MEMBER: YUSUKE KOBAYASHI OF NTT DATA,Software Sustainability,6.391981,5.8117976,7.2057295,61
From Bacolod to the Cloud: My Journey into Sustainable Tech in Negros Occidental 🇵🇭,Software Sustainability,6.656393,5.938619,7.166202,61
"My Take on ""Green Code"": More Than Just a Buzzword for 2025? 🌍💻",Software Sustainability,6.1488028,6.0357375,7.528785,61
Why Sustainability Matters in DevOps,Green Software Development,5.0403457,6.5970244,6.847483,6
Green IT: How Sustainable Technology Can Drive Business Value,Green Cloud Computing,4.7385426,6.8206687,6.1483316,27
Why I Decided to Offer a Free Version of My GreenOps Solution,Green Cloud Computing,4.582856,6.292469,5.9554067,27
Sustainability and Green IT Outsourcing,Software Sustainability,6.4428134,5.293363,6.81434,61
How Green IT and Resilient Infrastructure Are Shaping the Future of Tech,Green Cloud Computing,4.7219276,6.741781,6.134458,27
Greening software 101,Software Sustainability,6.184255,5.9707556,7.464547,61
Monitor the environmental impact of your EC2 instances with Cloud Scanner by Boavizta,Carbon Footprint Management,5.0470037,5.637438,6.152408,8
Building a Greener Cloud: The Role of an Architect for Sustainability in AWS,Green Cloud Computing,4.674504,6.495788,6.0414,27
Not so green Meta,Sustainable Web Design,7.689992,6.5065546,7.866377,32
You thought serverless was green? Here is how to really make it sustainable! 🌱,Green Cloud Computing,4.8341784,6.486765,6.0712037,27
Monitor the CO2 emissions of your AWS application with Cloud Carbon Footprint 🌱,Green Cloud Computing,4.8424335,6.1569405,6.13699,27
🌿 Sustainable Web Design: How Developers Can Reduce the Environmental Impact of the Internet,Sustainable Web Design,7.761257,6.9698744,8.393041,32
Is Your Website Green? The Rise of Sustainable Web Development,Sustainable Web Design,7.759269,6.9954486,8.40872,32
„Fooled by the Website Carbon Calculator“ – Roberta Haseleu,Sustainable Web Design,7.3298535,6.4737177,8.0446615,32
Why My Blog Stopped Using Deploy Previews,Environmental Management,11.231285,4.507092,5.481694,69
🌿 Green Coding & Sustainable AI Development,Software Sustainability,6.164962,6.028923,7.5208554,61
Sustainable Tech Isn’t Just a Buzzword—It’s the Future,Software Sustainability,7.1238694,5.9662313,6.5644083,61
🌍 Green Coding and Eco-Friendly Data Centers: Tech’s New Mission to Save the Planet 🌱,Software Sustainability,6.082691,6.108603,7.5713053,61
"Energy-Efficient Code: How to Write Code That Saves Energy, Lowers Costs, and Increases Performance",Early Earthquake Warning Systems,6.0282173,6.628715,5.897432,8
Sustainable Web Design: Building Environmentally-Friendly Websites for a Greener Future,Sustainable Web Design,7.789354,6.9677844,8.380938,32
Sustainable Technology: The Path to a Greener Future 🌱🌍,Sustainable Business Strategies for a Changing Climate,5.6828933,4.4587502,6.1208596,16
Push the Green Button: Creating Event Gadgets with IoT and Serverless Architecture,Tech for Good,7.608691,5.479514,7.0935826,11
A Visual Guide To: Sustainability City (Minecraft),Software Sustainability,6.7925296,5.435039,6.8656125,61
A Visual Guide To: Sustainable Software Engineering,Software Sustainability,5.6497984,6.0510817,7.40665,61
Green Cloud Computing: How the Cloud Can Help Save the Planet,Green Cloud Computing,4.620695,6.8590403,6.08773,27
Tips for Implementing Sustainable Cloud Design,Green Cloud Computing,4.671566,6.8473253,6.1003637,27
"Cutting Costs, Carbon, and Chaos: Why Smart Fleets Are Turning to AI Before EVs",Energy Innovation and AI,8.961116,9.7499485,2.805891,20
Top 10 Strategies for Reducing Carbon Emissions in Your Daily Life,Sustainable Business Strategies for a Changing Climate,5.9817324,4.9153166,6.2204027,16
🌍 Stop Timezone Chaos in Your Business App: A Laravel Developer’s Guide To Setup User TimeZone Based Carbon Usage,Date manipulation in Laravel using Carbon,11.696343,2.2489328,-0.33596817,12
Ways to Reduce Tech Infrastructure Carbon Footprint,Green Cloud Computing,4.6275635,6.959982,6.0983243,27
Share your success stories in Green Software,Software Sustainability,6.445433,5.742195,7.221486,61
Carbon Footprint Management Market: IT and Telecom Focus on Reducing Data Center Emissions,Carbon Footprint Management,4.8232045,5.407489,6.2637863,8
Solving Problems the Right Way: Leveraging Frameworks Over Quick Fixes,Date manipulation in Laravel using Carbon,11.643703,2.3026676,-0.28307274,12
Carbon Footprint Management Market: IT and Telecom Focus on Reducing Data Center Emissions,Carbon Footprint Management,4.8612857,5.456461,6.1989756,8
"Carbon Credit Validation, Verification, and Certification Market Sees Record Growth in 2024-2030",Software Sustainability,6.4768744,5.3044624,6.737775,61
The carbon footprint of email - Top facts and questions,Software Sustainability,6.329263,5.8230047,6.755105,61
Add a google maps on my reactjs resume,Environmental Management,12.67737,3.8944,5.188258,69
Understanding the Uses and Applications of Piperidine,Energy Boosters,6.9888573,5.0870695,5.121106,12
Carbon Credit Tokenization: Understanding the Basics and Benefits,Blockchain for Sustainability,4.7938547,4.8914104,6.629907,13
Using Blockchain to Manage Your Carbon Footprint: A Step Towards Sustainable Living,Blockchain for Sustainability,4.794873,4.8931394,6.624305,13
Date Parse Issue Due to Hidden Character,Date manipulation in Laravel using Carbon,11.542857,2.4090965,-0.16731183,12
Carbon Program to swap digits,Early Earthquake Warning Systems,6.1160703,6.413382,6.232237,8
What Is Sustainable Software Engineering?,Software Sustainability,6.146306,5.9031115,7.329035,61
How to Set Up Carbon Programming Language Manually on Ubuntu 22.04,Software Sustainability,6.571816,6.137003,7.6943383,61
SQUAKE CO2 API,Carbon Footprint Management,5.0104384,5.351633,5.97658,8
Carbon successor for c++,Software Sustainability,6.425978,6.0812044,7.601957,61
PHP Carbon Formatting that Readable for Humans,Date manipulation in Laravel using Carbon,11.65202,2.2944498,-0.2908757,12
Creating a Neat DateTime Helper Function in PHP,Date manipulation in Laravel using Carbon,11.710374,2.2350264,-0.35045263,12
Change Date Format Using Carbon In Laravel,Date manipulation in Laravel using Carbon,11.607268,2.3382561,-0.25051203,12
Carbon Add Minutes In Laravel Example,Date manipulation in Laravel using Carbon,11.650171,2.294567,-0.29561916,12
Carbon Add Hours In Laravel Example,Date manipulation in Laravel using Carbon,11.6754675,2.2687058,-0.3223448,12
Carbon Add Years To Date In Laravel,Date manipulation in Laravel using Carbon,11.663809,2.2833445,-0.29870108,12
Carbon Add Months To Date In Laravel,Date manipulation in Laravel using Carbon,11.661395,2.2838185,-0.30504134,12
Carbon Add Days To Date In Laravel,Date manipulation in Laravel using Carbon,11.691029,2.2527614,-0.3390924,12
What is Green Software?,Software Sustainability,6.2170815,5.929878,7.3441806,61
Is there an api/library in python for ray.so or carbon.now.sh?,Sustainable Web Design,7.073156,6.367484,7.9351325,32
Time consistencies between mobile app / front end / and back end,Date manipulation in Laravel using Carbon,11.693835,2.251533,-0.3331405,12
Create Code screenshots straight from your IDE,Environmental Management,10.705735,4.615729,5.423911,69
"Introducing Carbon component mapper for Data Driven Forms
",Environmental Management,10.506109,4.7155433,5.400935,69
Know more about carbon accounting in 2025,Carbon Footprint Management,5.214521,5.5437026,6.152835,8
Efficiency: AI-Powered Energy Consumption Analytics in Energy,Energy Innovation and AI,8.969854,9.801393,2.4969015,20
AI Solutions for Energy Utilities in AI in Energy Industry,Energy Innovation and AI,9.003713,9.918601,2.4596858,20
AI for Energy Fault Detection: Revolutionizing the Industry with Artificial Intelligence,Energy Innovation and AI,8.939399,9.964748,2.5053232,20
Artificial Intelligence for Energy Theft Detection in AI for Energy,Energy Innovation and AI,8.948661,9.891245,2.3917656,20
Preventing Industrial Accidents Through Data: How Predictive Maintenance is Transforming Energy Terminals,Energy Innovation and AI,9.164017,10.16576,2.8598185,20
From LPG to Hydrogen: Engineering Safe Transitions for the U.S. Clean Energy Future,Energy Innovation and AI,9.09895,10.081219,2.7662501,20
Shocking Truth: How Much Energy Does Your Air Purifier Really Use?,Energy Efficiency and Monitoring,9.421317,10.562416,3.3615162,19
Agentic AI: Powering the Future of Energy Innovation,Energy Innovation and AI,9.021564,9.923118,2.620045,20
What Is a Thermal Power Plant Explosion?,Energy Innovation and AI,9.141654,10.161919,2.8248913,20
What are the prices of solar panels in Pakistan in 2025?,Renewable Energy Market,8.00603,12.552154,3.2056367,40
Solar Unlimited Calabasas,Solar Energy Solutions,-5.8995695,1.3773583,4.0142007,6
Solar Unlimited Encino,Solar Energy Solutions,-5.8818245,1.3822598,4.018716,6
Solar Unlimited Sherman Oaks,Solar Energy Solutions,-5.9172583,1.3847084,4.0223765,6
Solar Unlimited Simi Valley,Solar Energy Solutions,-5.898622,1.3779304,4.014755,6
Go Solar This Summer & Cut Your Power Bills for Good!,Renewable Energy Market,8.06034,12.617614,3.259808,40
Solar Unlimited West Hills,Solar Energy Solutions,-5.8856997,1.3907723,4.0276,6
Outsourced Accounting & Planning | ControllerWorks,Energy Innovation and AI,9.194099,10.324366,2.956017,20
MBM LED Lights: Rooftop Solar Plant in Bhopal | Rooftop Solar Plant in Madhya Pradesh,Renewable Energy Market,8.049542,12.641471,3.2064779,40
Solar Unlimited,Solar Energy Solutions,-5.906629,1.3761979,4.013139,6
"Energy Trading and Risk Management Market Share, Growth Potential, and Industry Forecast (2025–2032)",Energy Efficiency and Monitoring,8.675683,10.972692,3.1795526,19
Cut Costs and Improve Efficiency: The Advantages of Energy Meter Monitoring,Energy Efficiency and Monitoring,9.007737,10.861039,3.3152742,19
Empowering the Energy Future: Copper Supply Success in a Solar Megaproject,Renewable Energy Market,7.936627,12.436261,3.2226307,40
Achieving Net-Zero Goals with Smart Building Technologies,Energy Efficiency and Monitoring,9.48821,10.447683,3.4445906,19
How to Naturally Boost Your Energy Without Caffeine,Energy Boosters,7.3608956,5.143609,4.9032288,12
How Much Energy Does ChatGPT Use Per Prompt? A Look at Its Hidden Environmental Costs,AI Energy Consumption,9.20489,7.3375983,4.8633914,21
What Are the Benefits of Using a Bill Monitoring System for Energy Savings?,Energy Efficiency and Monitoring,9.06992,10.795653,3.4211993,19
Arcee Orchestra — Build an Agentic Retrieval Workflow for the Energy Industry,Energy Innovation and AI,9.024191,10.068499,2.640485,20
Why software can be a deal-breaker for portfolio growth of property management companies?,Energy Efficiency and Monitoring,9.875274,10.110537,3.4284313,19
What is Net Metering and How Does It Work?,Renewable Energy Market,8.108016,12.622039,3.278709,40
Solid Oxide Fuel Cell (SOFC) Market: Forecasting a Thriving Future with Growth to $8.5 Billion by 2030,Renewable Energy Market,8.168017,12.158916,3.742824,40
Expanded literacy and the current state of software,AI Energy Consumption,9.166212,6.521649,5.468481,21
AI in Energy Management: Transforming the Future of Energy Efficiency,Energy Innovation and AI,9.066386,10.078443,2.8250709,20
Building Your Own Smart Meter: A DIY Guide,Energy Efficiency and Monitoring,9.075222,10.771016,3.492326,19
Solar Battery Generator Market to Develop New Trend and Growth Story,Renewable Energy Market,8.161938,12.211173,3.7180734,40
RENEWABLE ENERGY ZONES APPENDIX 3: AN IN-DEPTH LOOK,Renewable Energy Market,7.9997673,12.16895,3.2503197,40
CPEC Energy Projects In Pakistan: Impact And Future Prospects,Renewable Energy Market,7.925333,12.49918,3.1159005,40
Solar Energy for Your Home and Business,Renewable Energy Market,8.066007,12.666877,3.290006,40
Cordycep Gum Energizing and Invigorating with a Healthy Mouth Biome Boost,Energy Boosters,6.9428945,5.08642,5.149136,12
The Magic of Wireless Power Transmission Unleashing Teslas Vision,Renewable Energy Market,8.20794,11.713391,4.133049,40
Jacketed Liposome Extruder||Nanotechnology,Energy Boosters,6.89706,5.133882,5.195928,12
"Advancing Energy Efficiency with Kinto Power Electric Co., Ltd",Renewable Energy Market,8.079481,12.086145,3.3117647,40
Innovative Uses for Foldable Solar Panels in Outdoor Activities,Renewable Energy Market,8.115713,12.575325,3.391959,40
How to Choose the Right Wind Generator for Your Needs,Renewable Energy Market,8.122441,12.045095,3.2762506,40
Powering Progress: The Role of Wind Turbines in Clean Energy,Renewable Energy Market,8.123299,12.06299,3.2810044,40
The Best NAD Supplements for Boosting Your Energy and Staying Active,Energy Boosters,7.2010303,5.1208286,4.988408,12
Constant Micro Power Energy System,Energy Efficiency and Monitoring,8.852079,11.017903,3.3335466,19
Live Average Carbon Intensity rating with Octopus Home Mini in Home Assistant,Energy Efficiency and Monitoring,9.079611,10.796026,3.4967618,19
The Importance of Maintaining Energy Levels,Energy Boosters,7.3584056,5.1441917,4.902959,12
Distributed Energy Resource Management System Market Size,Energy Efficiency and Monitoring,8.82871,10.905179,3.1842914,19
Shaping the Future of Energy: Aluminum Air Batteries Market Trends,Renewable Energy Market,8.20457,12.094775,3.902836,40
Unleashing the Power of 48 Volt Solar Panels: A Gateway to Clean and Efficient Home Energy,Renewable Energy Market,8.16331,12.670275,3.3684444,40
Decoding Capacitor Trends: A Deep Dive into the High-Voltage Market,Renewable Energy Market,8.228768,12.117416,3.9235497,40
The Role Of Government Policies In Encouraging Businesses To Transition To Green Energy,Sustainable Business Strategies for a Changing Climate,5.7002206,4.521754,6.0765224,16
5G Technology and Lithium-ion Batteries: A Symbiotic Relationship,Renewable Energy Market,8.222027,11.699735,4.115567,40
Top Companies Reinventing the Energy Sector Via Blockchains,Blockchain for Sustainability,4.9501257,4.3963547,7.025155,13
Performative performance,Sustainable Web Design,7.891787,6.265661,7.840245,32
Sustainable Software Engineering for a greener digital world,Green Software Development,4.9839044,6.6018057,6.6864395,6
"Building cross platform desktop applications using JavaScript, HTML, and CSS in GO",Early Earthquake Warning Systems,5.913773,6.556148,6.3043385,8
[2023] High Growth of Supercapacitor in Energy Storage and Automotive Applications,Renewable Energy Market,8.256807,12.136804,3.8963501,40
Array clone and dup method in Ruby.,Workplace dynamics,10.148294,4.9371066,5.4844093,31
Hire Best Frontend Developer for Your Business Project,Workplace dynamics,9.152927,5.010282,6.1537895,31
The Productivity Hacks that’ll Make You the Best Teen in the World,Energy Boosters,7.3828826,5.1494827,4.896898,12
Burnout and Motivation,Energy Boosters,7.459954,5.1580396,4.898659,12
Watching videos on 720p instead of 1080p cuts the energy consumption of your phone in half!,Sustainable Web Design,7.864316,7.1328216,8.250816,32
It's all about energy,Energy Boosters,7.3858705,5.1518226,4.8942657,12
Efficient Energy Management and Energy Saving with a BESS (Battery Energy Storage System),Renewable Energy Market,8.228271,12.01228,3.9668484,40
Avoid Wake locks in Android apps,Renewable Energy Market,8.303433,11.642129,4.096973,40
How Energy Initiatives Will Affect Our Lives and Our Gadgets,Renewable Energy Market,8.202301,11.706022,4.119911,40
HVAC Predictive Maintenance: Boost Efficiency and Reduce Downtime,Energy Efficiency and Monitoring,9.429746,10.518314,3.3180585,19
